#      Train        Test
    0.950193      31.2271 
    0.788095      31.3568 
    0.806108      33.1671 
    0.783428      30.6486 
    0.852652      34.1868 
    0.830927      34.1046 
    0.859254      32.4539 
    0.857721      32.1065 
     0.98762       31.883 
    0.765292      35.2857 
    0.870316       31.465 
    0.866052      33.3257 
    0.902708      33.0932 
     0.86074      33.0146 
    0.715364      34.3897 
    0.761613      33.7645 
     0.86002      34.4532 
    0.857182      34.7078 
    0.766965       32.864 
    0.891851      35.0762 
    0.790238      34.4333 
    0.891024       33.004 
    0.885808      35.8957 
    0.788056        34.16 
    0.857547      33.6145 
    0.865531      32.2032 
    0.829896      36.8937 
    0.817526       34.493 
    0.819622      34.2443 
    0.728075      34.6197 
    0.678949      32.4955 
    0.898816      35.0198 
    0.807491       30.402 
    0.782488       33.459 
    0.861911      33.4204 
     0.76922      32.7516 
    0.806862      32.8217 
    0.848025      34.0302 
      0.9263      35.8128 
    0.876698      33.3631 
    0.836458      33.8144 
    0.884042      35.3003 
       0.845      35.5394 
     0.85032      34.3433 
    0.743695      34.1522 
    0.985277      32.8281 
    0.891863      36.4249 
    0.904171      33.5454 
     0.75967      33.9266 
    0.768702      35.0792 
     0.80823      33.3572 
    0.798013      32.8467 
    0.809294      35.3962 
    0.849943      34.2172 
    0.829653      32.2326 
    0.834831      34.2009 
    0.871433      33.4985 
    0.683451      33.8812 
      0.8314      35.5052 
    0.721778      34.5791 
    0.899073       33.173 
    0.779548      36.4502 
    0.907225      35.5429 
    0.903788      34.0981 
     0.83554      33.8121 
    0.883162      35.5806 
    0.836654      36.1685 
    0.840088      35.4837 
    0.745918      35.1509 
    0.832776      35.9152 
    0.790387      34.5675 
    0.873516      33.2798 
    0.831914      36.5797 
    0.893482      32.9216 
    0.813647      35.3703 
    0.843188      34.0873 
    0.900673      34.4437 
      0.9113      33.3147 
    0.766139      33.6654 
    0.811309      37.0014 
    0.790444      35.8817 
    0.767838      35.3599 
    0.845023      35.5545 
    0.822536      32.4588 
    0.792357      35.0631 
    0.821886      37.2234 
    0.871773       35.924 
    0.832603      35.7739 
    0.904912      36.1848 
    0.844002      36.3408 
    0.862143      33.8111 
    0.749745      33.9896 
    0.819291      34.0719 
    0.855009      34.3656 
    0.754362      34.9003 
    0.873541      36.8413 
    0.838288       34.401 
    0.837527      36.9543 
    0.809534       32.411 
    0.786057      36.2241 
    0.884492      35.0511 
    0.792793      36.0941 
    0.843519      37.1886 
    0.917728      34.4996 
    0.763914      36.1243 
    0.753107      35.3925 
    0.826612      37.3784 
    0.822191      36.1017 
    0.880716      34.6289 
    0.761428      36.8045 
    0.898671      35.5288 
    0.941842      35.2972 
    0.896202       32.888 
    0.744465      33.7084 
    0.787891      33.6462 
    0.843753      33.3842 
    0.799375      35.5366 
     0.77123      35.0849 
    0.851465      34.1416 
    0.778784      33.3451 
    0.808567        32.49 
    0.872902      36.5333 
    0.841585      33.3481 
    0.943952       35.379 
    0.867837      33.5225 
    0.846529      32.2642 
    0.808575      34.5126 
    0.953129      35.5471 
    0.921599      35.6471 
    0.906521       36.591 
    0.891233      37.2713 
     0.79846      31.7365 
    0.883773      34.2134 
    0.944782      35.0804 
    0.843745      36.9982 
    0.821984      36.6572 
    0.833219      35.6283 
    0.702556      36.8933 
    0.920323      35.1447 
    0.841223      35.0957 
    0.801761      36.1019 
    0.926043      36.9488 
    0.850296      33.7513 
    0.674293      33.8382 
     0.85158      35.3651 
    0.797716      35.9388 
    0.780808      36.2582 
    0.803889      35.3165 
    0.720684       31.466 
    0.833997      35.4049 
    0.767461      31.6692 
    0.806825      36.1494 
    0.854596      33.3587 
    0.838194      33.2551 
    0.842352      32.8528 
    0.777301      32.8991 
    0.792193      35.4138 
    0.778395      34.3576 
    0.822032       36.612 
    0.769178      32.9731 
    0.864774      31.2324 
     0.68927      34.4211 
    0.956043      32.6962 
    0.865388      35.8534 
    0.836219      35.1655 
    0.901517      36.3455 
    0.813321      36.1025 
    0.788045      35.4958 
    0.759687      35.2117 
    0.808541      34.3434 
    0.993716      37.4561 
    0.829311      34.2643 
    0.852885      35.6876 
    0.810819      31.9783 
    0.913118      35.5564 
    0.857423      34.3089 
    0.870145       33.401 
    0.849557      35.6005 
    0.942553      36.4511 
    0.951043      36.0184 
    0.742595      37.8059 
     0.90844      37.1088 
    0.805829      36.8802 
    0.905882      33.9658 
    0.886854      35.3995 
    0.780978      38.7581 
     0.82099      36.4327 
     0.81933      36.5426 
     0.83927      38.6886 
    0.884395      39.0084 
    0.908714      36.8106 
    0.966889      34.4603 
    0.903106       36.929 
     0.88524      40.0166 
    0.843137      35.8397 
    0.909011      35.6919 
    0.847953      36.4029 
    0.942126      35.6551 
    0.942409       36.738 
    0.902332      37.1209 
    0.830077      40.4485 
    0.827323      40.5803 
    0.895876      35.3415 
    0.837232      37.0011 
    0.792445      37.3556 
    0.904841      37.9825 
    0.878646      36.1037 
    0.809816      36.2858 
    0.744913      36.3769 
    0.913135      37.2558 
    0.785577      35.7042 
    0.865941      35.5005 
    0.835684      34.7686 
    0.843759      33.9846 
    0.819231      35.5253 
    0.890627      36.6107 
    0.904037      36.5553 
    0.826794      36.3108 
    0.871578       34.871 
    0.787965      35.6459 
    0.873962      36.6477 
    0.849881      34.5722 
    0.952671      35.0061 
    0.825995      35.7319 
    0.845073       38.712 
    0.944039      37.2326 
    0.966701      36.7468 
    0.935958      35.2588 
    0.886543      35.1877 
    0.931695      36.1657 
    0.766311      35.9589 
    0.854048      35.0658 
    0.823049      39.9948 
    0.774381      34.6524 
     0.77849      34.1911 
      0.8129      34.8096 
