#      Train        Test
    0.627631      31.3143 
    0.718019      29.0745 
    0.560246       29.432 
     0.59563      30.0569 
     0.62046      30.8674 
    0.595023      31.3193 
    0.647252       30.315 
    0.691565      30.3171 
    0.641199      27.7832 
    0.723432      29.7882 
    0.586116      29.3362 
    0.604794      30.7058 
     0.60967      30.8874 
    0.676732      30.6856 
    0.643248      30.7106 
    0.726114      29.4304 
    0.734627      29.9853 
    0.597751      30.3804 
     0.71231      31.0981 
    0.603729      29.9738 
    0.627403      30.1799 
    0.688646      32.4909 
    0.657119      32.6407 
    0.662493      31.7335 
    0.644222      32.3871 
    0.754431      31.1508 
    0.735399      30.3184 
    0.733552      31.0967 
    0.776507      31.4646 
    0.791257      32.1767 
    0.656821      29.2698 
    0.683445      31.2455 
    0.660634      30.7901 
    0.579362       31.873 
    0.699133      30.8124 
    0.682594      30.8636 
     0.69537      31.0757 
     0.66639      31.2759 
    0.747461      30.8395 
    0.641843      32.1392 
    0.570498        33.25 
    0.574647      30.2956 
    0.673236      32.0679 
    0.753394      29.0139 
    0.658022       30.476 
    0.623165      31.4712 
    0.807159      31.5035 
    0.579392      29.7722 
    0.549443      29.2729 
    0.747563      29.7084 
    0.676255      29.6117 
    0.779729      28.7694 
    0.651524      31.1509 
    0.583519      30.6819 
    0.681442      32.3185 
    0.661611      27.3002 
    0.695232      29.8946 
    0.754186      29.5722 
    0.694859      27.9161 
    0.704926      27.1083 
    0.653535      28.5857 
    0.677929       29.351 
    0.707575      28.6974 
    0.741792      30.2502 
     0.69139      31.5522 
    0.667185      31.0608 
    0.734146      28.5709 
    0.734101       31.826 
    0.614158       30.207 
    0.593203      30.6421 
    0.632108      31.2096 
    0.744862      29.0908 
    0.739514      30.8946 
    0.688595      29.3058 
    0.640778       32.575 
    0.675772      30.9407 
    0.693066      30.3051 
    0.657258      30.5299 
    0.722287      29.7825 
    0.660282      30.8593 
    0.641942      31.2673 
    0.694748      30.3755 
    0.678321      31.2783 
    0.634531       31.388 
     0.59959      30.5527 
    0.704681      29.5449 
    0.744545      31.6054 
    0.638861      34.7078 
    0.700905       33.499 
    0.776182      33.2912 
    0.729282      31.6011 
    0.611212      31.3687 
    0.586387      32.3131 
    0.745614      33.6442 
    0.669554      32.3823 
    0.674379      31.1658 
    0.751681      31.8087 
    0.745466      33.6318 
     0.64227      32.9176 
    0.711634       31.406 
    0.650113      32.0308 
    0.577724      33.2763 
    0.683431      33.0796 
    0.745837      31.2977 
    0.654585      33.0716 
    0.625105      32.1424 
    0.664605       32.442 
    0.702349      31.8343 
    0.685379      31.7637 
    0.682069      32.5052 
    0.616414      31.6382 
    0.668188      32.3153 
    0.646162      32.3982 
    0.613355      32.5677 
    0.667479      33.4776 
    0.729089      32.5256 
    0.678601      32.4655 
    0.731801      32.6178 
    0.747883      32.3533 
    0.598802      32.8675 
    0.669836       32.786 
    0.703737      33.2452 
    0.680682      30.5539 
    0.700494      31.9469 
    0.657857      32.4011 
    0.729579      30.9801 
    0.695901      30.8695 
    0.600687      30.6488 
    0.594458      34.2397 
    0.688374      32.9171 
     0.65084      29.2972 
    0.757081      33.1628 
    0.729921      30.5552 
    0.561486      29.2981 
    0.714658      33.2028 
    0.641219      32.3933 
      0.7065      29.8595 
    0.638072      29.8139 
    0.628702      30.0665 
    0.650392      31.0749 
    0.726846      32.3648 
    0.667772      31.1531 
    0.642044      28.9149 
     0.72493      30.9161 
    0.793912      31.3888 
    0.676351      30.6699 
    0.721365      31.3058 
    0.652374      32.9055 
    0.584709      30.4305 
    0.683985      32.5813 
    0.679496      32.2078 
    0.695162       33.298 
    0.712266      29.7278 
    0.726924      32.3952 
    0.644556       33.498 
     0.76864      30.9785 
    0.790119      31.4813 
    0.708021      32.0198 
     0.78506      33.5975 
    0.685877      32.6617 
    0.702587      31.7878 
    0.859231       31.439 
    0.762238      31.6048 
    0.793445      29.6998 
    0.752957      32.6952 
    0.669061      31.7143 
     0.82273      30.3503 
    0.628634       32.239 
    0.706461      31.8786 
    0.721195      33.1027 
    0.728374      31.8465 
    0.587001      31.4287 
    0.655252      32.1657 
     0.69125      30.7077 
    0.671297      31.7589 
    0.631967      30.0236 
    0.698861      30.7795 
    0.724228      32.6775 
    0.726735      33.5352 
    0.684036      31.1004 
    0.702061      31.6313 
    0.618579      30.7761 
    0.719466      32.2807 
    0.796908      30.6106 
    0.647004      31.6927 
     0.68376      32.1525 
     0.69163      31.2782 
    0.661855       32.904 
    0.659417      31.8174 
    0.668151      32.9798 
    0.694413       31.747 
    0.726421      30.0677 
    0.677357      33.1843 
    0.698904      33.1631 
    0.762864      32.8205 
    0.725964       30.952 
    0.715955      31.2084 
    0.750735      32.5682 
    0.836937      32.3643 
    0.745218      33.3675 
    0.701544      32.6043 
    0.635648      31.6847 
    0.677119      30.6517 
    0.692728      32.7303 
    0.753516      32.0168 
    0.726339      30.7551 
    0.734034      30.8486 
    0.748227      30.9103 
     0.77712      31.4234 
